STRATEGY,NUM_YEAR,NUM_MONTH,NUM_DAY,CLICKS,IMPRESSIONS,REVENUE
a9,1900,1,1,11702,33871653,2819
a9,1900,1,2,12670,40771163,3076
a9,1900,1,3,13513,34068057,2887
a9,1900,1,4,11513,37603119,2723
a9,1900,1,5,12524,30228063,2791
a9,1900,1,6,11772,29600088,2534
a9,1900,1,7,10799,34910147,2548
b9,1900,1,1,15433,33787709,3321
b9,1900,1,2,15644,40599288,3582
b9,1900,1,3,17607,33932739,3498
b9,1900,1,4,15325,37414508,3444
b9,1900,1,5,16358,30157730,3505
b9,1900,1,6,14952,29535449,3306
b9,1900,1,7,14195,34840846,3319
c9,1900,1,1,11821,33713650,2886
c9,1900,1,2,12837,40548731,3367
c9,1900,1,3,14108,33831803,3079
c9,1900,1,4,12129,37313183,3014
c9,1900,1,5,13216,29965063,3144
c9,1900,1,6,11924,29360963,2752
c9,1900,1,7,10961,34656745,2807
d9,1900,1,1,11859,33902434,2821
d9,1900,1,2,12280,40732643,2959
d9,1900,1,3,13919,34055538,2865
d9,1900,1,4,11799,37578033,2908
d9,1900,1,5,11988,30245482,2762
d9,1900,1,6,12340,29643177,2586
d9,1900,1,7,10366,34974672,2415
e9,1900,1,1,11350,33707533,5188
e9,1900,1,2,11799,40491247,5648
e9,1900,1,3,13032,33812384,5616
e9,1900,1,4,11053,37351561,5194
e9,1900,1,5,12037,30005669,5323
e9,1900,1,6,11583,29417815,4948
e9,1900,1,7,10139,34685563,4687
