st, fmt, uuid, ad, cr, fl, BID, mibid, avbid, mxbid, nmbid, CTR, mictr, avctr, mxctr, nmctr, CTX, mictx, avctx, mxctx, nmctx, qlt, miqlt, avqlt, mxqlt, nmqlt, CTU, mictu, avctu, mxctu, nmctu, BTU, mibtu, avbtu, mxbtu, nmbtu, hour, comb, order, adnum, cpc, click
auctionexpr, ci_n_ads.js, ef43ef07715844ea8c0963c363508fda, 1010324, 1323859, 3172996, 1.50, 0.05, 0.44, 1.50, 0.7310, 2048, 238, 1767, 12664, 0.02261, 0.24, 0.21, 0.23, 0.46, 0.04000, 4.06, 3.13, 3.86, 8.24, 0.03914, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010324:1008279:1010793:1007924:1000118:1008486:995157:1010434:1010952:, 1, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 62574707b9ec4b0eb1dd7d35d5f188e2, 1007924, 1319599, 3171822, 0.86, 0.05, 0.44, 1.50, 0.2897, 2181, 245, 1702, 9833, 0.04996, 0.26, 0.26, 0.27, 0.60, -0.02941, 3.80, 3.02, 3.74, 7.77, 0.01263, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010324:1010793:1008279:993356:1010557:1007924:1010127:1010528:1008486:, 6, 9, 0.77, 1
e9, ci_n_ads.js, a434017862434decb845397c95f01136, 1010528, 1324062, 3172876, 1.00, 0.05, 0.39, 1.00, 0.6421, 876, 237, 1998, 9833, -0.1169, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.25, 0.25, 0.27, 0.52, -0.07407, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010557:1007922:1010528:1008279:1008526:993356:1007924:1005922:1010793:, 3, 9, 0.00, 0
e9, ci_n_ads.js, a434017862434decb845397c95f01136, 1007924, 1319598, 3171822, 0.86, 0.05, 0.39, 1.00, 0.4947, 1865, 237, 1998, 9833, -0.01386, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.25, 0.25, 0.27, 0.52, -0.07407, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010557:1007922:1010528:1008279:1008526:993356:1007924:1005922:1010793:, 7, 9, 0.00, 0
e9, ci_n_ads.js, a434017862434decb845397c95f01136, 1005922, 1317261, 3168814, 0.82, 0.05, 0.39, 1.00, 0.4526, 1488, 237, 1998, 9833, -0.05315, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.25, 0.25, 0.27, 0.52, -0.07407, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010557:1007922:1010528:1008279:1008526:993356:1007924:1005922:1010793:, 8, 9, 0.00, 0
auctionexpr, ci_n_ads.js, ff43bbb893f04ab2b1dfa8e006a79e82, 1009052, 1323378, 3171585, 0.75, 0.05, 0.45, 1.50, 0.2069, 2300, 114, 2951, 9833, -0.06698, 0.42, 0.26, 0.32, 0.81, 0.1818, 4.48, 2.57, 3.99, 6.94, 0.1121, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 13, 1000103:1010324:1009052, 3, 3, 0.00, 0
a9, ci_n_ads.js, fe29e4bcbf974fac985ed15d183cac6a, 980277, 1298145, 3115793, 0.05, 0.05, 0.36, 1.00, -0.3263, 5638, 240, 1916, 8075, 0.4750, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.42, 0.31, 0.33, 0.51, 0.4500, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010861:1010774:1010670:980277:992392:1008175:1006305:1010952:1008766:, 4, 9, 0.00, 0
e9, ci_n_ads.js, 80c3aa8aff844c44a69c9ab72ce25cfc, 1000160, 1306484, 3162561, 0.70, 0.05, 0.39, 1.00, 0.3263, 1421, 237, 1888, 7716, -0.06244, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.41, 1.46, 1.59, 2.60, 0.7193, 0.00, 0.00, 0.00, 0.00, 0, 13, 1010520:1009251:1010685:1007673:1009049:1010152:1000160:1010670:1010324, 7, 9, 0.00, 0
auctionexpr, ci_n_ads.js, c6a4016cd8e14f7aaa54c5ee730dd523, 1011058, 1324924, 3173361, 0.50, 0.05, 0.33, 0.80, 0.2267, 16847, 802, 3872, 88889, 0.1473, 3.20, 2.06, 2.53, 3.40, 0.5000, 6.57, 4.64, 5.24, 9.81, 0.2573, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1011058:1010127, 1, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 17dc6f14054e4705b08d09d63f5686d5, 1008486, 1320382, 3172107, 0.60, 0.05, 0.44, 1.50, 0.1103, 1677, 232, 1745, 7716, -0.009086, 0.35, 0.21, 0.24, 0.50, 0.3793, 5.30, 2.98, 4.05, 9.96, 0.1791, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1008279:1010127:1008486:1009667:1009534:1010528:993356:1005922:1006513:, 3, 9, 0.00, 0
a9, ci_n_ads.js, f83c516c5e7c49d5aa9cc9206529a7d2, 1009646, 1322596, 3172056, 0.50, 0.05, 0.32, 0.71, 0.2727, 967, 441, 1666, 4000, -0.1964, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.30, 0.29, 0.33, 0.41, -0.2500, 0.00, 0.00, 0.00, 0.00, 0, 14, 1009646:1010044, 1, 2, 0.00, 0
a9, ci_n_ads.js, f83c516c5e7c49d5aa9cc9206529a7d2, 1010044, 1324364, 3172377, 0.50, 0.05, 0.32, 0.71, 0.2727, 441, 441, 1666, 4000, -0.3442, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.33, 0.29, 0.33, 0.41, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1009646:1010044, 2, 2, 0.5, 1
e9, ci_n_ads.js, a2b1830a43364f6aac8a8e7881bc4e9f, 1009169, 1321556, 3171660, 0.50, 0.05, 0.25, 0.60, 0.4545, 2613, 232, 2392, 13190, 0.01706, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.32, 0.31, 0.38, 1.43, -0.05357, 0.00, 0.00, 0.00, 0.00, 0, 14, 1010512:1011046:1009169, 3, 3, 0.5, 1
auctionexpr, ci_n_ads.js, d6341c51791b472e8f770593fa59b441, 1003313, 1322620, 3172278, 0.30, 0.05, 0.48, 1.50, -0.1241, 950, 255, 1771, 7716, -0.1100, 4.21, 0.24, 0.46, 4.89, 0.8065, 6.07, 0.87, 2.09, 8.68, 0.5096, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1009990:1009251:1010324:1010520:1006513:992395:1003313:1009667:1008279:, 7, 9, 0.00, 0
e9, ci_n_ads.js, 42474a1c04b6417abc18cfbdcf5524ce, 1010979, 1324765, 3173283, 0.45, 0.05, 0.40, 0.80, 0.06667, 4000, 419, 2485, 11577, 0.1358, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 4.35, 2.11, 3.71, 4.48, 0.2700, 0.00, 0.00, 0.00, 0.00, 0, 14, 1010979:1011031, 1, 2, 0.45, 1
auctionexpr, ci_n_ads.js, fe609fc81f55450caf833461e1de61e3, 1010520, 1324053, 3172860, 1.00, 0.05, 0.49, 1.50, 0.3517, 3554, 161, 2327, 13212, 0.09402, 0.27, 0.19, 0.24, 1.06, 0.03448, 3.06, 1.54, 2.50, 7.38, 0.09589, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 14, 1000159:1007985:1010520:1009251:1010324:1008526:1005912:993356:1008279:, 3, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 532b5c18c42a43c19ce54e130602ff03, 1009990, 1323245, 3172313, 0.70, 0.05, 0.42, 1.50, 0.1931, 2396, 246, 1890, 23164, 0.02208, 0.24, 0.21, 0.26, 0.61, -0.05000, 3.18, 2.71, 3.27, 7.77, -0.01779, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 15, 1008486:1008279:993356:1008813:1009646:1006804:1009169:1009667:1009990:, 9, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 59b0011d258c444b85e817d45b2e1169, 1003595, 1312700, 3166682, 0.50, 0.05, 0.48, 1.50, 0.01379, 4338, 253, 1742, 5647, 0.4813, 0.45, 0.26, 0.67, 10.62, -0.02124, 3.98, 0.76, 2.32, 6.68, 0.2804, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010390:1010520:1009667:1003595:1008279:1006804:1010853:1008486:1008526, 4, 9, 0.5, 1
auctionexpr, ci_n_ads.js, 59b0011d258c444b85e817d45b2e1169, 1006804, 1323814, 3169768, 0.60, 0.05, 0.48, 1.50, 0.08276, 752, 253, 1742, 5647, -0.1835, 2.15, 0.26, 0.67, 10.62, 0.1429, 3.33, 0.76, 2.32, 6.68, 0.1706, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010390:1010520:1009667:1003595:1008279:1006804:1010853:1008486:1008526, 6, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 59b0011d258c444b85e817d45b2e1169, 1008486, 1320383, 3172107, 0.60, 0.05, 0.48, 1.50, 0.08276, 1815, 253, 1742, 5647, 0.01353, 1.18, 0.26, 0.67, 10.62, 0.04923, 3.20, 0.76, 2.32, 6.68, 0.1486, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010390:1010520:1009667:1003595:1008279:1006804:1010853:1008486:1008526, 8, 9, 0.00, 0
d9, ci_n_ads.js, 7afbcaff55ed4def85563962d53029d2, 1009991, 1323416, 3172310, 0.35, 0.05, 0.35, 1.00, 0, 441, 240, 1749, 5647, -0.2419, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.24, 1.04, 1.32, 4.73, -0.02168, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010812:1009991:1009049:1010865:1010208:1006867:1009169:1010877:1008451, 2, 9, 0.00, 0
d9, ci_n_ads.js, 7afbcaff55ed4def85563962d53029d2, 1010208, 1323673, 3172567, 0.05, 0.05, 0.35, 1.00, -0.3158, 769, 240, 1749, 5647, -0.1812, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.24, 1.04, 1.32, 4.73, -0.02168, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010812:1009991:1009049:1010865:1010208:1006867:1009169:1010877:1008451, 5, 9, 0.00, 0
d9, ci_n_ads.js, 7afbcaff55ed4def85563962d53029d2, 1008451, 1321848, 3171091, 0.30, 0.05, 0.35, 1.00, -0.05263, 613, 240, 1749, 5647, -0.2101, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.23, 1.04, 1.32, 4.73, -0.02439, 0.00, 0.00, 0.00, 0.00, 0, 15, 1010812:1009991:1009049:1010865:1010208:1006867:1009169:1010877:1008451, 9, 9, 0.00, 0
c9, ci_n_ads.js, fb86e126d679450aa031edecc35ce84c, 1011004, 1324790, 3173308, 0.45, 0.05, 0.40, 1.00, 0.05263, 4000, 417, 2719, 5958, 0.2312, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.80, 2.66, 4.14, 5.61, -0.1153, 0.00, 0.00, 0.00, 0.00, 0, 15, 1011059:1011004, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 11409ae4ecdb445e8025fbfb9371baaa, 993356, 1293525, 3153279, 0.90, 0.05, 0.49, 0.90, 0.4824, 1319, 473, 3504, 11737, -0.1940, 1.91, 1.91, 2.09, 2.94, -0.1748, 5.12, 4.99, 6.12, 8.93, -0.2538, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 15, 1011056:993356:1011029:, 2, 3, 0.9, 1
c9, ci_n_ads.js, 45fc80d081d1459cb0ed101f275c04f2, 1010848, 1324623, 3173199, 0.52, 0.05, 0.39, 2.00, 0.06667, 3714, 246, 2578, 8107, 0.1445, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.42, 0.00, 0.19, 0.43, 0.5349, 0.00, 0.00, 3.67, 9.37, -0.3917, 15, 1010848:1008811:996838:, 1, 3, 0.00, 0
c9, ci_n_ads.js, 45fc80d081d1459cb0ed101f275c04f2, 1008811, 1322183, 3171357, 0.30, 0.05, 0.39, 2.00, -0.04615, 8107, 246, 2578, 8107, 0.7033, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.37, 0.00, 0.19, 0.43, 0.4186, 0.00, 0.00, 3.67, 9.37, -0.3917, 15, 1010848:1008811:996838:, 2, 3, 0.06, 1
c9, ci_n_ads.js, 45fc80d081d1459cb0ed101f275c04f2, 996838, 1300465, 3158121, 0.05, 0.05, 0.39, 2.00, -0.1744, 711, 246, 2578, 8107, -0.2375, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.41, 0.00, 0.19, 0.43, 0.5116, 0.00, 0.00, 3.67, 9.37, -0.3917, 15, 1010848:1008811:996838:, 3, 3, 0.00, 0
c9, ci_n_ads.js, 87985ee0ba1f43e383897f3927ac0bd2, 1011062, 1324928, 3173365, 0.50, 0.05, 0.34, 0.70, 0.2462, 14053, 270, 3312, 14053, 0.7793, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.63, 1.73, 2.32, 3.66, 0.1606, 0.00, 0.00, 0.00, 0.00, 0, 16, 1010034:1011062, 2, 2, 0.5, 1
auctionexpr, ci_n_ads.js, 923b12a98fed45b58dbf017e69e00dd3, 1010549, 1324099, 3172898, 0.50, 0.05, 0.39, 1.00, 0.1158, 480, 357, 3875, 21331, -0.1619, 0.35, 0.27, 0.34, 0.52, 0.04000, 4.41, 3.54, 4.86, 7.95, -0.1020, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 16, 1009778:1008186:1010549, 3, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 6e31534460fd4fe5bb6ff5c22af65efc, 1010324, 1323859, 3172995, 0.60, 0.05, 0.37, 0.70, 0.3538, 2489, 640, 2789, 6067, -0.05528, 2.34, 2.16, 2.55, 3.28, -0.1875, 6.62, 5.18, 7.04, 9.11, -0.1069, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 16, 1009667:1009990:1010324, 3, 3, 0.00, 0
auctionexpr, ci_n_ads.js, a5eb17cdebc642b19d463be46bad1fc9, 1010955, 1324955, 3173389, 0.60, 0.05, 0.32, 1.00, 0.2947, 4000, 790, 2815, 9383, 0.1379, 1.91, 1.65, 1.97, 2.86, -0.04959, 6.44, 4.84, 6.01, 8.45, 0.1191, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 16, 1010105:1010955, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 7e6814b78d2b4f8cb1bd51553831ada6, 1010127, 1323587, 3172520, 0.60, 0.05, 0.12, 1.00, 0.5053, 2369, 412, 1394, 9383, 0.1087, 2.80, 2.10, 2.20, 2.81, 0.8451, 7.01, 5.25, 5.80, 9.99, 0.2553, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 16, 1011090:1010127, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, ad3efc6c6f8e45ccb74d26d55655c171, 1006804, 1323815, 3169768, 0.60, 0.05, 0.37, 1.50, 0.1586, 773, 185, 1882, 16355, -0.06858, 0.29, 0.19, 0.27, 0.63, 0.04545, 3.34, 2.21, 3.34, 6.73, 0, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1010430:1009667:1009646:1004303:1010853:1009968:1006804:1000625:1010877, 7, 9, 0.00, 0
auctionexpr, ci_n_ads.js, ad3efc6c6f8e45ccb74d26d55655c171, 1000625, 1307266, 3163189, 0.45, 0.05, 0.37, 1.50, 0.05517, 879, 185, 1882, 16355, -0.06203, 0.38, 0.19, 0.27, 0.63, 0.2500, 4.15, 2.21, 3.34, 6.73, 0.1792, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1010430:1009667:1009646:1004303:1010853:1009968:1006804:1000625:1010877, 8, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 10f0acd4f7d740a0b96f99ec9f43505f, 1011092, 1324959, 3173397, 0.76, 0.05, 0.43, 0.87, 0.4024, 10318, 365, 4122, 10318, 0.6225, 0.37, 0.26, 0.33, 0.54, 0.1429, 8.38, 3.65, 5.53, 8.38, 0.6025, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011089:1011092:1010136, 2, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 2e3b57edfb6248f69bd55df5cb014153, 1010324, 1323859, 3172996, 1.50, 0.05, 0.36, 1.50, 0.7862, 2054, 567, 3122, 6344, -0.1849, 1.41, 1.41, 1.72, 2.29, -0.3523, 5.74, 4.80, 6.98, 8.89, -0.3032, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1010324:1010666:1009667, 1, 3, 1.28, 1
auctionexpr, ci_n_ads.js, 37ce3c1f663f4f6cb7f3f9f5f1379619, 1000160, 1306484, 3162561, 0.70, 0.05, 0.44, 1.50, 0.1793, 1418, 108, 1614, 15147, -0.01303, 0.35, 0.18, 0.20, 0.40, 0.6818, 5.78, 2.97, 3.69, 7.35, 0.4772, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011090:1010324:1000160:1010520:1008526:1011092:1008186:1010435:993356:, 3, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 205a4d87e90f485b94f283776eee09ac, 1011030, 1324872, 3173334, 0.45, 0.05, 0.31, 1.00, 0.1474, 10510, 108, 2325, 18199, 0.4524, 1.09, 0.95, 1.02, 1.51, 0.1250, 7.12, 4.40, 5.09, 9.64, 0.3874, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011092:1010324:1010557:1007924:1010869:1011057:1011030:1010127:1009990:1010367:1010685:992396:, 7, 12, 0.00, 0
auctionexpr, ci_n_ads.js, 6b55c2d09dbf4fc6931897216de69f50, 1007924, 1319599, 3171822, 0.86, 0.05, 0.40, 1.50, 0.3172, 2109, 108, 1614, 15147, 0.03291, 0.37, 0.23, 0.28, 0.53, 0.3000, 5.02, 3.42, 3.92, 7.74, 0.2546, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011090:1010324:1007924:1011092:1010557:1008186:993356:1000180:1009990:, 3, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 6b55c2d09dbf4fc6931897216de69f50, 1008186, 1319991, 3170896, 0.45, 0.05, 0.40, 1.50, 0.03448, 2937, 108, 1614, 15147, 0.08797, 0.53, 0.23, 0.28, 0.53, 0.8333, 6.78, 3.42, 3.92, 7.74, 0.6620, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011090:1010324:1007924:1011092:1010557:1008186:993356:1000180:1009990:, 6, 9, 0.00, 0
a9, ci_n_ads.js, 0a0e748ce31140d29e3f0f0de6089593, 737575, 1315882, 3104176, 0.35, 0.05, 0.22, 0.60, 0.2364, 1782, 1075, 3221, 5618, -0.3168, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.39, 2.77, 4.11, 7.06, -0.1678, 0.00, 0.00, 0.00, 0.00, 0, 17, 737575:747343:, 1, 2, 0.00, 0
e9, ci_n_ads.js, b53eb241c67d4c6d840569c9bbfc44cb, 1011090, 1324957, 3173395, 1.00, 0.05, 0.40, 1.00, 0.6316, 9201, 412, 2938, 9201, 0.7126, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 5.80, 2.75, 4.21, 5.80, 0.5213, 0.00, 0.00, 0.00, 0.00, 0, 17, 1011090:1010105, 1, 2, 0.00, 0
b9, ci_n_ads.js, 2d1ac4c804c64436aa70d8313578fcfc, 1009778, 1322860, 3172141, 0.45, 0.05, 0.37, 1.00, 0.08421, 8066, 365, 4472, 15698, 0.2344, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.31, 0.29, 0.35, 0.68, -0.1026, 0.00, 0.00, 0.00, 0.00, 0, 17, 1010965:1009778:1010021, 2, 3, 0.32, 1
auctionexpr, ci_n_ads.js, b14c1a875be44e779d85b2bc11c8606b, 1010955, 1324955, 3173389, 0.60, 0.05, 0.32, 0.80, 0.3733, 4000, 572, 2630, 5620, 0.2714, 3.75, 1.58, 2.04, 3.75, 0.7880, 8.85, 4.25, 6.11, 8.85, 0.5957, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 18, 1010955:1011061, 1, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 4ecc67d51bb94f648ac62827f8660f18, 1010127, 1323587, 3172520, 0.60, 0.05, 0.39, 1.00, 0.2211, 2382, 391, 2354, 8721, 0.003361, 5.80, 2.75, 4.14, 5.80, 0.5443, 7.09, 4.84, 6.17, 10.00, 0.1783, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 18, 1010127:1011059, 1, 2, 0.00, 0
a9, ci_n_ads.js, eabdd77c36f2460982b807a8bacbdb7a, 1009968, 1323219, 3172284, 0.50, 0.05, 0.38, 1.00, 0.1263, 738, 193, 2191, 5622, -0.2676, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.00, 0.00, 0.17, 0.43, -0.3953, 8.35, 0.00, 3.63, 9.54, 0.4948, 18, 1009968:980270:1009107:, 1, 3, 0.00, 0
e9, ci_n_ads.js, 6e674fad17f64909bcbfce51818ad402, 1011090, 1324957, 3173395, 1.00, 0.05, 0.29, 1.00, 0.7474, 7453, 597, 2260, 7453, 0.7574, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.00, 2.24, 2.42, 3.00, 0.7632, 0.00, 0.00, 0.00, 0.00, 0, 18, 1011090:1010127, 1, 2, 0.61, 1
auctionexpr, ci_n_ads.js, a488afecdcda4623af1d9d16a257407d, 1010957, 1324969, 3173409, 0.89, 0.05, 0.36, 1.50, 0.3655, 4327, 109, 1794, 12865, 0.1986, 0.29, 0.19, 0.24, 0.49, 0.1667, 5.12, 3.12, 3.77, 7.44, 0.3125, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 18, 1011090:1010324:1010957:1011092:1008186:1010666:1010557:1003432:1000180, 3, 9, 0.00, 0
auctionexpr, ci_n_ads.js, b7a45475c08e41eaa29c761160641c60, 1010955, 1324955, 3173389, 0.60, 0.05, 0.33, 0.80, 0.3600, 3298, 780, 2423, 4677, 0.2245, 2.24, 1.99, 2.37, 3.36, -0.09489, 7.61, 5.53, 6.99, 9.62, 0.1516, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 18, 1011058:1010955, 2, 2, 0.52, 1
e9, ci_n_ads.js, cc52cd49e83647659ebc2fd1964445da, 1000089, 1306413, 3162490, 0.70, 0.05, 0.30, 0.70, 0.6154, 2759, 593, 3156, 7462, -0.05780, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.85, 1.47, 1.75, 3.85, 0.8824, 0.00, 0.00, 0.00, 0.00, 0, 18, 1000089:1009990, 1, 2, 0.7, 1
b9, ci_n_ads.js, 6bd48847392241c8aec49fb00f420e31, 1005912, 1316010, 3168787, 0.35, 0.05, 0.42, 1.50, -0.04828, 11733, 225, 2582, 11733, 0.7952, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.00, 0.00, 0.91, 2.63, -0.3460, 5.13, 0.00, 3.22, 7.39, 0.2585, 19, 1005912:980277:1003432:, 1, 3, 0.35, 1
auctionexpr, ci_n_ads.js, 3d58031d5d134fe4bff1364beca46bbc, 1009170, 1321559, 3171661, 0.50, 0.05, 0.29, 0.89, 0.2500, 2155, 225, 1626, 13157, 0.04091, 0.45, 0.36, 0.41, 0.59, 0.1739, 5.49, 4.18, 4.96, 10.00, 0.09107, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 19, 1010957:995036:1009170:, 3, 3, 0.00, 0
e9, ci_n_ads.js, 95cc5088a40c405d899206d65ac8ae0f, 1005911, 1316005, 3168786, 0.30, 0.05, 0.32, 0.70, -0.03077, 3505, 372, 3397, 11477, 0.009725, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.52, 0.44, 0.59, 1.40, -0.07292, 0.00, 0.00, 0.00, 0.00, 0, 19, 1005911:980263:738648:, 1, 3, 0.3, 1
e9, ci_n_ads.js, 95cc5088a40c405d899206d65ac8ae0f, 980263, 1264871, 3115783, 0.30, 0.05, 0.32, 0.70, -0.03077, 4421, 372, 3397, 11477, 0.09221, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.53, 0.44, 0.59, 1.40, -0.06250, 0.00, 0.00, 0.00, 0.00, 0, 19, 1005911:980263:738648:, 2, 3, 0.00, 0
a9, ci_n_ads.js, 2a6e391733e445b89c68f8fcf1000d14, 738659, 970558, 2817049, 0.20, 0.05, 0.37, 0.80, -0.2267, 3133, 408, 2173, 4075, 0.2618, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.69, 2.69, 4.25, 5.99, -0.4727, 0.00, 0.00, 0.00, 0.00, 0, 19, 738659:747343:, 1, 2, 0.2, 1
b9, ci_n_ads.js, 88f29173cd7d433da14caa2c21d597e5, 999115, 1304426, 3162470, 0.06, 0.05, 0.26, 1.00, -0.2105, 3796, 224, 1803, 13153, 0.1541, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.38, 0.36, 0.43, 0.68, -0.1562, 0.00, 0.00, 0.00, 0.00, 0, 19, 995036:999115:1007545:, 2, 3, 0.00, 0
b9, ci_n_ads.js, 88f29173cd7d433da14caa2c21d597e5, 1007545, 1319024, 3170427, 0.21, 0.05, 0.26, 1.00, -0.05263, 2528, 224, 1803, 13153, 0.05608, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.38, 0.36, 0.43, 0.68, -0.1562, 0.00, 0.00, 0.00, 0.00, 0, 19, 995036:999115:1007545:, 3, 3, 0.00, 0
